#FeatureID	taxonomy	confidence
ASV_306	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.984571464
ASV_307	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.982178152
ASV_308	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Thalassiosira; s__Thalassiosira_concaviuscula	0.789977419
ASV_309	Unassigned	0.71371236
ASV_310	d__Bacteria	0.865973689
ASV_311	d__Bacteria	0.80437306
ASV_312	d__Eukaryota	0.999976387
ASV_313	d__Eukaryota	0.999790546
ASV_314	Unassigned	0.870999499
ASV_315	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Amylibacter; s__Rhodobacterales_bacterium	0.935238315
ASV_316	d__Eukaryota	0.998990736
ASV_317	d__Eukaryota; p__Annelida; c__Polychaeta; o__Phyllodocida; f__Phyllodocida; g__Phyllodocida	0.709746752
ASV_318	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae	0.742746472
ASV_319	d__Eukaryota; p__Euglenozoa; c__Diplonemea; o__Diplonemea; f__Diplonemea; g__SCM38C39_marine_group; s__Diplonemida_sp.	0.865991622
ASV_320	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales	0.794402633
ASV_321	d__Eukaryota	0.999912576
ASV_322	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Choreotrichia	0.996234797
ASV_323	d__Eukaryota	0.999655739
ASV_324	d__Eukaryota	0.999824157
ASV_325	Unassigned	0.80066529
ASV_326	d__Eukaryota	0.999919512
ASV_327	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.964371309
ASV_328	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.969373468
ASV_329	d__Eukaryota; p__Ciliophora; c__Intramacronucleata	0.739105706
ASV_330	d__Eukaryota	0.999631577
ASV_331	d__Eukaryota; p__Euglenozoa; c__Diplonemea; o__Diplonemea; f__Diplonemea; g__SCM38C39_marine_group; s__uncultured_eukaryote	0.820436922
ASV_332	d__Bacteria	0.793540396
ASV_333	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae	0.804483978
ASV_334	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__hydrothermal_vent	0.71806196
ASV_335	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.976416899
ASV_336	d__Eukaryota; p__Chlorophyta	0.894035696
ASV_337	Unassigned	0.608931678
ASV_338	d__Bacteria; p__Gemmatimonadota; c__BD2-11_terrestrial_group; o__BD2-11_terrestrial_group; f__BD2-11_terrestrial_group; g__BD2-11_terrestrial_group	0.824485551
ASV_339	d__Eukaryota	0.999477649
ASV_340	d__Eukaryota	0.997139313
ASV_341	d__Eukaryota	0.854492886
ASV_342	Unassigned	0.342511006
ASV_343	Unassigned	0.357193053
ASV_344	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.99715683
ASV_345	d__Eukaryota	0.999903914
ASV_346	d__Eukaryota	0.999874559
ASV_347	d__Eukaryota	0.999882149
ASV_348	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Spizellomycetales; f__Spizellomycetaceae; g__Phlyctochytrium; s__Spizellomycetales_sp.	0.761972004
ASV_349	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.978705433
ASV_350	d__Eukaryota; p__Euglenozoa; c__Diplonemea; o__Diplonemea; f__Diplonemea	0.76561305
ASV_351	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.986602574
ASV_352	d__Eukaryota; p__Ochrophyta	0.866523534
ASV_353	d__Eukaryota; p__Ciliophora; c__Intramacronucleata	0.850649466
ASV_354	d__Eukaryota	0.905437769
