"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1205","ASV_1205",-0.0192228693170736,0.00669478777322042,0.00164546873373988,"ASV_1205","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",NA
"1206","ASV_1206",-0.00306998923604522,0.000726718028307279,0.00266653978064881,"ASV_1206","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","uncultured",NA
"1207","ASV_1207",-0.0466857031965158,0.0188723325046515,0.00779036446377656,"ASV_1207","Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus_Tenderia","uncultured_gamma"
"1208","ASV_1208",0.00150426106036391,0.0015433367016838,0.000461406833074754,"ASV_1208","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","PS1_clade","PS1_clade","uncultured_bacterium"
"1209","ASV_1209",0.000954434613448925,0.00126264807506413,-0.0015165999774563,"ASV_1209","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae",NA
"1210","ASV_1210",-0.0119630241743819,0.00393623900783748,0.000367741140839458,"ASV_1210","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)",NA
"1211","ASV_1211",0.000566859264597645,-0.000539722187149693,-0.00204119594493843,"ASV_1211","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"1212","ASV_1212",-0.017376980685129,0.00324223168708671,0.011264256152117,"ASV_1212","Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j",NA
"1213","ASV_1213",-0.00158523630230209,-0.0179921381138006,0.00977633616894175,"ASV_1213","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus_Actinomarina","uncultured_bacterium"
"1214","ASV_1214",0.00151692886012575,-0.000171898133861392,-0.00141701743695202,"ASV_1214","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","unidentified_marine"
"1215","ASV_1215",9.06237419769742e-05,-0.000871114660520427,-0.00214071395744372,"ASV_1215","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"1216","ASV_1216",-0.0306110085819018,0.0151794101830513,0.00696562436613728,"ASV_1216","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade",NA
"1217","ASV_1217",0.00212123855419212,-0.00895081471547922,0.00503410851286577,"ASV_1217","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group",NA
"1218","ASV_1218",0.00167127414638388,0.000365180612653665,0.000926418615444475,"ASV_1218","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"1219","ASV_1219",0.0146391702443359,0.0173578011816214,0.0196778605842345,"ASV_1219","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","uncultured","marine_gamma"
"1220","ASV_1220",0.0147545014657009,0.0213536552931606,0.0196360021764393,"ASV_1220","Bacteria",NA,NA,NA,NA,NA,NA
"1221","ASV_1221",0.0102031036360232,0.0107141906570099,0.0134239668033428,"ASV_1221","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"1222","ASV_1222",0.000299424635015281,0.0002605671757446,-0.00118426153806628,"ASV_1222","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","uncultured_marine"
"1223","ASV_1223",-0.0173630359136165,-0.0048614708922922,0.00938025650725238,"ASV_1223","Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j",NA
"1224","ASV_1224",0.0110588445239161,0.0066005765739482,0.0196890015207335,"ASV_1224","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"1225","ASV_1225",-0.0160166750541382,-0.0206822568220881,0.0112093465047536,"ASV_1225","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured",NA
"1226","ASV_1226",0.00121521151768974,-0.000591748590888399,-0.00290674540758506,"ASV_1226","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"1227","ASV_1227",0.000496025589749769,-0.00139067055993169,8.91753093199554e-06,"ASV_1227","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group",NA
"1228","ASV_1228",-0.0230938676629052,0.010619895766985,0.0193977998934883,"ASV_1228","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","uncultured","uncultured_gamma"
"1229","ASV_1229",-0.0200778172673159,-0.00296393439116133,0.0150894620702907,"ASV_1229","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"1230","ASV_1230",0.00511522101992668,-0.0113285781706059,0.0193254636916097,"ASV_1230","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","uncultured","uncultured_Fibrobacteres"
"1231","ASV_1231",-0.0222580991114605,0.00986627133683984,0.00525391087552487,"ASV_1231","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"1232","ASV_1232",0.00486444098906387,0.0158814151772694,0.0300789996652636,"ASV_1232","Bacteria",NA,NA,NA,NA,NA,NA
"1233","ASV_1233",-0.0127258045479997,0.0111665980409154,0.0146580115610357,"ASV_1233","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Rubidimonas","uncultured_bacterium"
"1234","ASV_1234",-0.00586325546333797,0.00267688429143399,0.000218041861173718,"ASV_1234","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade",NA
"1235","ASV_1235",-0.00415817350621456,-0.0283303847386247,0.0075690039985893,"ASV_1235","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured",NA
"1236","ASV_1236",0.00114324120558327,-0.00409426517890581,0.00290349373833808,"ASV_1236","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","HOC36","HOC36","Candidatus_Thioglobus"
"1237","ASV_1237",0.000943366944238423,-0.000248116828537133,-0.000844663744796811,"ASV_1237","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","uncultured",NA
"1238","ASV_1238",-0.0148903862929981,0.00493855742572775,0.000697613270579615,"ASV_1238","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade",NA
"1239","ASV_1239",0.00222111528702341,0.00562567692151231,0.00422830840398405,"ASV_1239","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","PS1_clade","PS1_clade",NA
"1240","ASV_1240",-0.0440795804479637,0.00775487884973923,0.0189203315056581,"ASV_1240","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
